2023-05-03 20:15:41,673 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2127, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:42,209 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2126, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:42,748 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2124, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:44,301 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=1811, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:44,845 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1810, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:45,383 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1811, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:45,915 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1809, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:46,451 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1808, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:46,979 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=1811, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:47,512 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1812, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:48,041 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2125, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:48,578 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2123, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:51,162 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=1491, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:51,694 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2122, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:54,229 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~mcostafi, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:54,760 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/press.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:56,279 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~mcostafi/news.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:59,809 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=1788, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:00,351 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1787, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:00,879 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1789, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:01,419 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1790, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:01,954 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1791, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:02,482 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=1788, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:03,014 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=1788, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:03,543 - Worker-0 - INFO - Downloaded http://hai.ics.uci.edu/index.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:04,066 - Worker-0 - INFO - Downloaded https://hai.ics.uci.edu/projects.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:04,579 - Worker-0 - INFO - Downloaded https://hai.ics.uci.edu/contact.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:05,092 - Worker-0 - INFO - Downloaded https://hai.ics.uci.edu/publications.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:05,644 - Worker-0 - INFO - Downloaded https://hai.ics.uci.edu/None, status <404>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:06,155 - Worker-0 - INFO - Downloaded https://hai.ics.uci.edu/people.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:06,686 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/news.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:07,205 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/projects.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:07,724 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/teaching.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:08,240 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/index.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:08,757 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~mcostafi/publications.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:09,280 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=2121, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:09,834 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2120, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:10,374 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2119, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:10,930 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~djr/DebraJRichardson/Home.html, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:11,445 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:11,999 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/None, status <404>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:12,511 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu/events, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:13,051 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2118, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:16:13,589 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2117, status <200>, using cache ('styx.ics.uci.edu', 9013).
