outreach,456
venue,65
commercial,47
collaborations,81
mitre,7
partners,712
orange,189
county,196
va,7
fair,86
broker,9
placing,28
wide-open,1
opportunity,236
ready,122
philanthropic,13
folks,19
determined,125
chance,108
originally,80
expand,82
highlighted,39
ii,124
post,538
we’ve,69
race,65
usually,103
overlooked,4
gregory,22
diggs-yang,2
stacey,2
nicholas,11
office,512
oai,25
trailblazers,1
contributors,18
widening,1
beginning,61
2014,1180
joint,139
henry,41
samueli,47
recruiting,40
retaining,6
graduating,59
talented,22
meant,17
rather,207
starting,189
point,1559
visionaries,2
unsung,2
heroes,5
association,204
bfsa,2
sense,114
purpose,79
african,18
american,237
presence,50
visible,18
nurturing,5
productive,22
sign,68
bgsn,1
networking,267
organization’s,5
camaraderie,2
proudly,16
represent,143
inspired,81
cbcrr,1
vibrant,14
culturally,6
socio-ecologically,1
sustainable,67
space,849
highest,79
east,42
easa,1
cultural,80
meaningful,49
conversations,38
nsbe,11
recruitment,66
retention,12
nigerian,1
nsa,7
diaspora,1
roots,36
beauty,10
nigeria,1
video,1054
listed,106
thriving,11
specifically,149
respond,46
anti-blackness,1
existential,1
threat,22
allstarcode,1
men,17
anitab,1
org,330
technical,372
thousands,38
initiatives,61
founders,5
membership,72
seeks,46
entrepreneurs,10
7,1430
17,869
blackandstem,1
professionals,80
advocates,14
blacks,2
platform,266
united,95
int’l,1
built,93
largest,121
self-identified,1
cite,104
campaign,19
push,93
engage,58
radical,19
praxis,2
citation,11
acknowledges,5
honors,132
transnational,8
production,68
code2040,2
dismantle,1
structural,52
barriers,22
latinx,6
becoming,151
movement,42
activists,38
organizers,22
mathematicians,26
committed,28
concrete,16
measurable,14
dev,29
dair,1
timnit,1
gebru,1
independent,241
community-rooted,1
tech’s,2
pervasive,89
pocit,2
telling,24
strongties,2
promotes,17
steam,15
zyrobotics,1
makes,219
children,220
discussion,217
covers,78
comes,128
oppression,4
search,1386
engines,40
reinforce,4
racism,11
safiya,1
umoja,1
noble,3
afronet,1
charlton,2
mcilwain,1
equation,44
50,568
tonya,1
bolden,1
blackness,1
cybercultures,1
andre,38
brock,2
jr,23
sandcastle,1
josh,11
funk,1
interrogating,1
ebony,1
omotola,1
